motor_x,motor_y,motor_z,time
0.093459,0.001630,0.016777,2023-12-15T13:58:53.196058Z
-0.021403,0.000367,0.005732,2023-12-15T13:58:53.196258Z
0.035080,0.000998,-0.005943,2023-12-15T13:58:53.196458Z
-0.026767,0.001314,0.008572,2023-12-15T13:58:53.196658Z
-0.069045,0.001314,0.009203,2023-12-15T13:58:53.196858Z
0.044862,0.000998,0.007941,2023-12-15T13:58:53.197058Z
-0.002472,0.000998,0.004785,2023-12-15T13:58:53.197258Z
-0.017617,0.000998,0.006363,2023-12-15T13:58:53.197458Z
-0.087976,0.000998,0.009834,2023-12-15T13:58:53.197658Z
-0.044435,0.001630,-0.000895,2023-12-15T13:58:53.197858Z
0.132590,0.000998,0.002261,2023-12-15T13:58:53.198058Z
-0.025505,0.000998,0.007625,2023-12-15T13:58:53.198258Z
-0.040649,0.000998,0.013621,2023-12-15T13:58:53.198458Z
-0.019194,0.000998,0.008256,2023-12-15T13:58:53.198658Z
0.048649,0.001630,-0.009098,2023-12-15T13:58:53.198858Z
0.047071,0.000683,0.005416,2023-12-15T13:58:53.199058Z
-0.051377,0.001314,0.010465,2023-12-15T13:58:53.199258Z
0.015830,0.000998,0.016461,2023-12-15T13:58:53.199458Z
-0.026767,0.000052,0.003839,2023-12-15T13:58:53.199658Z
0.009519,0.001314,-0.011307,2023-12-15T13:58:53.199858Z
-0.083243,0.001314,0.006679,2023-12-15T13:58:53.200058Z
-0.012884,0.000998,0.012359,2023-12-15T13:58:53.200258Z
0.080837,0.000998,0.016777,2023-12-15T13:58:53.200458Z
0.015515,0.000683,-0.003103,2023-12-15T13:58:53.200658Z
0.019301,0.000998,-0.010991,2023-12-15T13:58:53.200858Z
-0.130254,0.000998,0.010150,2023-12-15T13:58:53.201058Z
-0.013515,0.001630,0.015515,2023-12-15T13:58:53.201258Z
0.158151,0.000998,0.009834,2023-12-15T13:58:53.201458Z
0.063796,0.000998,-0.008783,2023-12-15T13:58:53.201658Z
-0.020772,0.001630,-0.004050,2023-12-15T13:58:53.201858Z
-0.183260,0.000052,0.011728,2023-12-15T13:58:53.202058Z
-0.037494,0.001314,0.021826,2023-12-15T13:58:53.202258Z
0.168880,0.000998,-0.000264,2023-12-15T13:58:53.202458Z
0.074841,0.000683,-0.010360,2023-12-15T13:58:53.202658Z
-0.071254,0.000998,0.006679,2023-12-15T13:58:53.202858Z
-0.161806,0.000367,0.016777,2023-12-15T13:58:53.203058Z
