motor_x,motor_y,motor_z,time
0.072001,0.001314,-0.006889,2023-12-29T19:05:18.403153Z
0.022457,0.000998,0.010150,2023-12-29T19:05:18.403352Z
-0.074409,0.000998,0.007310,2023-12-29T19:05:18.403553Z
0.051174,0.000683,-0.002157,2023-12-29T19:05:18.403753Z
-0.008467,0.000998,-0.000895,2023-12-29T19:05:18.403953Z
-0.040334,0.001314,-0.006258,2023-12-29T19:05:18.404153Z
0.075472,0.000998,0.006363,2023-12-29T19:05:18.404353Z
-0.043489,0.001630,0.020564,2023-12-29T19:05:18.404553Z
-0.014777,0.000683,-0.016039,2023-12-29T19:05:18.404752Z
-0.043489,0.000683,0.004154,2023-12-29T19:05:18.404953Z
-0.093340,0.000998,-0.004681,2023-12-29T19:05:18.405153Z
0.085255,0.000998,-0.006889,2023-12-29T19:05:18.405353Z
0.167302,0.000998,0.000367,2023-12-29T19:05:18.405553Z
0.048965,0.000998,-0.012884,2023-12-29T19:05:18.405753Z
-0.131516,0.000367,0.015830,2023-12-29T19:05:18.405953Z
-0.059580,0.000998,-0.006574,2023-12-29T19:05:18.406153Z
0.016146,0.000998,-0.007205,2023-12-29T19:05:18.406353Z
-0.062104,0.000998,0.009834,2023-12-29T19:05:18.406553Z
0.168249,0.000683,0.010465,2023-12-29T19:05:18.406753Z
0.063165,0.001630,0.007310,2023-12-29T19:05:18.406953Z
0.037920,0.000998,0.006363,2023-12-29T19:05:18.407153Z
-0.012569,0.001314,0.027506,2023-12-29T19:05:18.407353Z
-0.020772,0.000998,0.006363,2023-12-29T19:05:18.407553Z
0.008888,0.000683,0.002892,2023-12-29T19:05:18.407753Z
-0.043173,0.001630,-0.000895,2023-12-29T19:05:18.407953Z
-0.006574,0.000367,-0.006889,2023-12-29T19:05:18.408153Z
0.022141,0.000367,0.012043,2023-12-29T19:05:18.408353Z
-0.071569,0.001630,0.012674,2023-12-29T19:05:18.408553Z
-0.072516,0.000367,0.012043,2023-12-29T19:05:18.408753Z
0.047702,0.000367,-0.001210,2023-12-29T19:05:18.408953Z
0.054329,0.000998,0.014568,2023-12-29T19:05:18.409153Z
-0.159281,0.001630,0.006048,2023-12-29T19:05:18.409353Z
0.287217,0.000998,-0.004681,2023-12-29T19:05:18.409553Z
0.018670,0.000367,0.012990,2023-12-29T19:05:18.409753Z
-0.219229,0.001314,0.028137,2023-12-29T19:05:18.409953Z
-0.028975,0.001630,-0.000264,2023-12-29T19:05:18.410153Z
-0.110062,0.000367,0.000052,2023-12-29T19:05:18.410353Z
0.122176,0.000683,-0.006258,2023-12-29T19:05:18.410553Z
-0.012253,0.000998,0.006994,2023-12-29T19:05:18.410753Z
0.164777,0.001314,0.011728,2023-12-29T19:05:18.410953Z
0.030662,0.000998,-0.003734,2023-12-29T19:05:18.411153Z
-0.024243,0.000683,0.013306,2023-12-29T19:05:18.411353Z
-0.038125,0.000998,0.001630,2023-12-29T19:05:18.411553Z
0.145212,0.000998,-0.003734,2023-12-29T19:05:18.411753Z
-0.110693,0.001314,0.002261,2023-12-29T19:05:18.411952Z
-0.009729,0.001314,-0.004996,2023-12-29T19:05:18.412153Z
-0.046328,0.000683,0.009519,2023-12-29T19:05:18.412353Z
0.054329,0.000998,0.025928,2023-12-29T19:05:18.412553Z
-0.043173,0.000367,-0.014777,2023-12-29T19:05:18.412753Z
-0.049799,0.000683,0.004785,2023-12-29T19:05:18.412953Z
-0.063997,0.001630,0.000052,2023-12-29T19:05:18.413153Z
0.029715,0.000998,-0.005627,2023-12-29T19:05:18.413353Z
0.112078,0.001314,-0.002472,2023-12-29T19:05:18.413553Z
0.076734,0.000998,-0.008783,2023-12-29T19:05:18.413753Z
-0.139720,0.000998,0.027506,2023-12-29T19:05:18.413953Z
-0.040965,0.000998,0.006363,2023-12-29T19:05:18.414153Z
0.020564,0.000998,-0.010045,2023-12-29T19:05:18.414353Z
0.057169,0.000998,0.006994,2023-12-29T19:05:18.414553Z
0.177400,0.000998,0.010150,2023-12-29T19:05:18.414753Z
-0.020456,0.000998,0.007941,2023-12-29T19:05:18.414953Z
0.081152,0.000683,-0.003103,2023-12-29T19:05:18.415153Z
-0.015408,0.000683,0.021826,2023-12-29T19:05:18.415353Z
-0.082612,0.000998,0.006363,2023-12-29T19:05:18.415553Z
-0.155495,0.000683,0.012674,2023-12-29T19:05:18.415753Z
0.103242,0.000998,-0.005627,2023-12-29T19:05:18.415953Z
-0.079457,0.001314,-0.007836,2023-12-29T19:05:18.416153Z
0.098824,0.000998,0.015515,2023-12-29T19:05:18.416353Z
-0.009414,0.000998,0.016146,2023-12-29T19:05:18.416553Z
-0.053585,0.000998,0.010465,2023-12-29T19:05:18.416753Z
0.078943,0.001314,-0.006258,2023-12-29T19:05:18.416953Z
-0.035917,0.000998,0.026559,2023-12-29T19:05:18.417153Z
-0.139089,0.000367,0.009834,2023-12-29T19:05:18.417353Z
0.251558,0.000998,-0.004365,2023-12-29T19:05:18.417553Z
0.061587,0.001314,0.006363,2023-12-29T19:05:18.417753Z
-0.212287,0.000998,0.023404,2023-12-29T19:05:18.417953Z
-0.075355,0.000683,0.002892,2023-12-29T19:05:18.418153Z
